query	ENSMUST00000187170.2	1506	target	chr1	208915005	+	NA
qStart	qEnd	qGap	tStart	tEnd	tGap	blkSz
0	145	[0]	67377644	67377789	[0]	145
145	333	[0]	67378035	67378223	[246]	188
333	408	[0]	67387786	67387861	[9563]	75
408	443	[0]	67389163	67389198	[1302]	35
443	544	[0]	67395195	67395296	[5997]	101
544	580	[0]	67398235	67398271	[2939]	36
580	632	[0]	67401076	67401128	[2805]	52
632	752	[0]	67404412	67404532	[3284]	120
752	919	[0]	67407974	67408141	[3442]	167
919	1082	[0]	67411470	67411633	[3329]	163
1082	1204	[0]	67413366	67413488	[1733]	122
1204	1506	[0]	67414529	67414831	[1041]	302

query	ENSMUST00000187170.2	1506	target	chr1	208915005	+	NA
qStart	qEnd	qGap	tStart	tEnd	tGap	blkSz
1082	1200	[0]	67414411	67414529	[0]	118

